campaign_id,campaign_name,channel,impressions,clicks,conversions,spend,revenue,campaign_date
1,Festival Offer,LinkedIn,88810,3600,120,37335.97,79547.61,22-02-2025
2,New Launch,Google Ads,93696,10808,502,29934.13,39536.23,30-04-2025
3,Retargeting,Email,71237,6355,217,28501.01,111748.88,23-04-2025
4,Festival Offer,LinkedIn,63878,6104,467,40662.09,49798.67,05-08-2025
5,New Launch,Facebook,49597,3267,177,11550.37,47371.27,14-07-2025
6,Valentine Offer,YouTube,17676,1088,120,30582.58,130498.54,05-03-2025
7,Brand Awareness,YouTube,54615,1737,193,15365.74,55145.05,09-04-2025
8,New Launch,Google Ads,97349,3085,115,33401.9,138205.7,21-02-2025
9,Brand Awareness,Instagram,54823,3373,333,32148.54,83147.77,18-04-2025
10,Mega Sale,LinkedIn,92841,6230,904,46896.07,171758.47,29-03-2025
11,Retargeting,Google Ads,75010,7473,474,9006.72,23795.13,17-12-2025
12,Special Discount,Instagram,47504,1408,100,41268.33,175769,03-02-2025
13,Valentine Offer,Google Ads,32653,2976,250,11418.7,35364.61,16-05-2025
14,Special Discount,YouTube,23301,1476,187,27409.89,110699.02,24-07-2025
15,Summer Sale,Facebook,52447,2844,155,25966.79,40130.53,20-03-2025
16,Mega Sale,Email,87240,4365,562,30224.04,80459.89,28-09-2025
17,Retargeting,Instagram,37953,3025,95,34333.89,56146.09,25-11-2025
18,Flash Sale,YouTube,49587,1904,132,22303.5,65218.78,02-04-2025
19,Winter Sale,Google Ads,71542,2301,221,42241.8,132179.62,11-07-2025
20,Valentine Offer,Facebook,26174,2732,352,46006.18,159916.99,27-02-2025
21,New Launch,Facebook,52576,3570,229,3838.33,17412.34,06-09-2025
22,Retargeting,Google Ads,14071,1371,73,7291.18,21917.82,16-05-2025
23,Winter Sale,LinkedIn,74163,8629,1124,48253.78,228234.17,09-06-2025
24,Valentine Offer,Facebook,57296,6647,864,19297.6,89126.61,07-05-2025
25,Mega Sale,Google Ads,34451,951,71,2030.68,6711.2,04-01-2025
26,Brand Awareness,Facebook,14305,1578,62,12218.15,56699.5,21-09-2025
27,Mega Sale,YouTube,36195,1863,226,24785.31,80529.68,31-08-2025
28,New Launch,LinkedIn,36850,3950,360,40567.35,78033.64,09-08-2025
29,New Launch,Facebook,51438,4497,554,23884.21,94831.97,26-07-2025
30,Festival Offer,Email,49473,1884,119,10387.91,33634.87,04-04-2025
31,Retargeting,Facebook,41509,4619,393,43849.81,65181.1,26-01-2025
32,Winter Sale,Google Ads,90477,10665,349,48480.82,228838.9,28-07-2025
33,Festival Offer,Email,68653,5316,377,43367.87,200762.14,02-01-2025
34,Retargeting,LinkedIn,56173,3295,330,14977.21,57618.04,07-09-2025
35,Retargeting,Facebook,25289,1282,113,11667.34,16593.72,10-06-2025
36,Retargeting,Google Ads,12492,351,47,24362.64,114350.22,30-01-2025
37,Winter Sale,Email,71562,2087,279,10105.42,34976.21,03-03-2025
38,Special Discount,LinkedIn,79668,3609,404,30131.44,107076.58,26-10-2025
